'Time and date','II','MCL1','ABP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg'
'[12:35:33.833 03/12/3299]',-0.053,-0.053,68.000
'[12:35:33.841 03/12/3299]',-0.053,-0.053,68.000
'[12:35:33.849 03/12/3299]',-0.039,-0.053,67.200
'[12:35:33.857 03/12/3299]',-0.039,-0.053,67.200
'[12:35:33.865 03/12/3299]',-0.053,-0.053,66.400
'[12:35:33.873 03/12/3299]',-0.053,-0.053,65.600
'[12:35:33.881 03/12/3299]',-0.053,-0.053,65.600
'[12:35:33.889 03/12/3299]',-0.053,-0.053,64.800
'[12:35:33.897 03/12/3299]',-0.039,-0.053,64.800
'[12:35:33.905 03/12/3299]',-0.039,-0.053,64.000
'[12:35:33.913 03/12/3299]',-0.053,-0.053,63.200
'[12:35:33.921 03/12/3299]',-0.053,-0.053,63.200
'[12:35:33.929 03/12/3299]',-0.053,-0.053,62.400
'[12:35:33.937 03/12/3299]',-0.053,-0.053,62.400
'[12:35:33.945 03/12/3299]',-0.039,-0.053,61.600
'[12:35:33.953 03/12/3299]',-0.039,-0.053,60.800
'[12:35:33.961 03/12/3299]',-0.039,-0.053,60.800
'[12:35:33.969 03/12/3299]',-0.026,-0.053,60.000
'[12:35:33.977 03/12/3299]',-0.026,-0.053,60.000
'[12:35:33.985 03/12/3299]',-0.013,-0.053,59.200
'[12:35:33.993 03/12/3299]',0.000,-0.053,59.200
'[12:35:34.001 03/12/3299]',0.013,-0.053,58.400
'[12:35:34.009 03/12/3299]',0.039,-0.053,58.400
'[12:35:34.017 03/12/3299]',0.039,-0.053,57.600
'[12:35:34.025 03/12/3299]',0.039,-0.053,57.600
'[12:35:34.033 03/12/3299]',0.026,-0.053,56.800
'[12:35:34.041 03/12/3299]',0.013,-0.053,56.800
'[12:35:34.049 03/12/3299]',0.013,-0.053,56.000
'[12:35:34.057 03/12/3299]',0.026,-0.053,56.000
'[12:35:34.065 03/12/3299]',0.013,-0.053,55.200
'[12:35:34.073 03/12/3299]',0.000,-0.053,55.200
'[12:35:34.081 03/12/3299]',-0.039,-0.053,54.400
'[12:35:34.089 03/12/3299]',-0.066,-0.053,54.400
'[12:35:34.097 03/12/3299]',-0.066,-0.053,53.600
'[12:35:34.105 03/12/3299]',-0.066,-0.053,53.600
'[12:35:34.113 03/12/3299]',-0.066,-0.053,53.600
'[12:35:34.121 03/12/3299]',-0.066,-0.053,52.800
'[12:35:34.129 03/12/3299]',-0.079,-0.053,52.800
'[12:35:34.137 03/12/3299]',-0.066,-0.053,52.800
'[12:35:34.145 03/12/3299]',-0.066,-0.053,52.000
'[12:35:34.153 03/12/3299]',-0.066,-0.053,52.000
'[12:35:34.161 03/12/3299]',-0.092,-0.053,52.000
'[12:35:34.169 03/12/3299]',-0.145,0.000,51.200
'[12:35:34.177 03/12/3299]',-0.171,0.118,51.200
'[12:35:34.185 03/12/3299]',-0.053,0.250,51.200
'[12:35:34.193 03/12/3299]',0.250,0.500,51.200
'[12:35:34.201 03/12/3299]',0.500,0.684,50.400
'[12:35:34.209 03/12/3299]',0.526,0.118,50.400
'[12:35:34.217 03/12/3299]',0.224,-1.118,50.400
'[12:35:34.225 03/12/3299]',0.013,-1.750,49.600
'[12:35:34.233 03/12/3299]',-0.079,-1.500,49.600
'[12:35:34.241 03/12/3299]',-0.118,-0.934,49.600
'[12:35:34.249 03/12/3299]',-0.158,-0.553,49.600
'[12:35:34.257 03/12/3299]',-0.171,-0.303,48.800
'[12:35:34.265 03/12/3299]',-0.171,-0.118,48.800
'[12:35:34.273 03/12/3299]',-0.158,0.000,48.800
'[12:35:34.281 03/12/3299]',-0.145,0.053,48.000
