CGID,LABEL
3976,"UCO"
3977,"RN"
3979,"RN"
3980,"RPh"
3981,"MD,PhD"
3983,"RN"
3984,"RN"
3985,"RN"
3987,"PA"
3988,"MD"
3990,"RN"
3991,"RN"
3993,"MD"
3994,"MD"
3995,"RN"
3997,"MD"
3998,"RN"
4000,"RRT"
4001,"MD"
4002,"RN"
4004,"RN"
4005,"MD"
4007,"RN"
4008,"RD"
4010,"RN"
4011,"MD"
4013,"RN"
4014,"MD"
4015,"MD"
4017,"MD"
4018,"MD"
4020,"RN"
4021,"MD"
4022,"RN"
4024,"MD"
4025,"MD"
4027,"RN"
4028,"MD"
4030,"MD"
4031,"RN"
4033,"MD"
4034,"RN"
4035,"MD"
4037,"MD"
4038,"RRT"
4040,"RN"
4041,"RN"
4043,"UA"
4044,"UCO/PC"
4046,"CoWkr"
4047,"MD"
4048,"MD"
4050,"MD"
4051,"MD"
4053,"MD"
4054,"MD"
4056,"MD"
4057,"MD"
4059,"MD"
4060,"MD"
4062,"MD"
4063,"MD"
4064,"MD"
4066,"RN"
4067,"MD"
4069,"MD"
4070,"MD"
4072,"MD"
4073,"MD"
4075,"MD"
4076,"MD"
4077,"MD"
4079,"MD"
4080,"MD"
4082,"MD"
4083,"MD"
4084,"MD"
4086,"MD"
4087,"MD"
4089,"MD"
4090,"MD"
4092,"MD"
4093,"MD"
4095,"MD"
4096,"MD"
4098,"MD"
4099,"MD"
4100,"MD"
4101,"MD"
4102,"MD"
4103,"MD"
4104,"MD"
4105,"CoWker"
4106,"RN"
4107,"MD"
4108,"MD"
4109,"MD"
4110,"MD"
4111,"MD"
4112,"CoWkr"
4113,"MD"
4114,"MD"
4115,"LICSW"
4116,"MD"
4117,"MD"
4118,"MD"
4119,"MD"
4120,"MD"
4121,"MD"
4122,"MD"
4123,"MD"
4124,"MD"
4125,"MD"
4126,"MD"
4127,"MD"
4128,"MD"
4129,"MD"
4130,"MD"
4131,"MD"
4132,"MD"
4133,"MD"
4134,"MD"
4135,"MD"
4136,"MD"
4137,"MD"
4138,"RN"
4139,"RN"
4140,"RRT"
4141,"MD"
4142,"MD"
4143,"Co-Ord"
4144,"RN"
4145,"MD"
4146,"MD"
4147,"MD"
4148,"MD"
4149,"RN"
4150,"MD"
4151,"RN"
4152,"MD"
4153,"MD"
4154,"MD"
4155,"MD"
4156,"MD"
4157,"RN"
4158,"RN"
4159,"MD"
4160,"RN"
4161,"MD"
4162,"MD"
4163,"RN"
4164,"LICSW"
4165,"MD"
4166,"MD"
4167,"MD"
4168,"MD"
4169,"RN"
4170,"MedStu"
4171,"MD"
4172,"RN"
4173,"MD"
4174,"Rph"
4175,"MD"
4176,"RN"
4177,"RN"
4178,"MD"
4179,"MD"
4180,"RN"
4181,"MD"
4182,"RN"
4183,"RN"
4185,"MD"
4186,"MD"
4187,"RN"
4189,"RN"
4190,"RN"
4192,"MD"
4193,"MD"
4194,"RN"
4196,"RN"
4197,"MD"
4199,"MD"
4200,"RN"
4201,"MD"
4203,"MD"
4204,"MD"
4206,"RN"
4207,"MD"
4208,"MD"
4210,"MD"
4211,"RN"
4213,"RN"
4214,"RNC"
4216,"RN"
4217,"MD"
4219,"RN"
4220,"RN"
4222,"RRT"
4223,"MD"
4224,"MD"
4226,"RN"
4227,"MD"
4229,"MD"
4230,"RN"
4232,"RN"
4233,"CoWker"
4234,"MedSt"
4236,"MD"
4237,"RN"
4239,"MD"
4240,"MD"
4242,"RN"
4243,"MD"
4244,"MD"
4246,"RN"
4247,"RN"
4249,"RRT"
4250,"RN"
4251,"MD"
4253,"PA"
4254,"RN"
4256,"RN"
4257,"RRT"
4259,"RN"
4260,"RN"
4261,"CoWker"
4263,"RN"
4264,"NP"
4266,"MD"
4267,"RN"
4268,"CoWker"
4270,"RN"
4271,"RN"
4272,"RN"
4274,"RRT"
4275,"RRT"
4277,"MD"
4278,"RPh"
4280,"RN"
4281,"RN"
4283,"RN"
4284,"RN"
4286,"RN"
4287,"PA"
4288,"MD"
4290,"RN"
4291,"MD"
4293,"RRT"
4294,"RRT"
4296,"UCO"
4297,"RN"
