ITEMID,LABEL,CATEGORY,DESCRIPTION
1435,"Sustained Nystamus",,
1436,"Tactile Disturbances",,
1437,"Tremor",,
1438,"Ulnar Pulse R/L",,
1439,"Visual Disturbances",,
1447,"Transpulmonary Pres",,
1448,"Vd/Vt:",,
1449,"Arterial BP(Rad)",,
1450,"level one",,
1451,"L girth size",,
1452,"#1 chest tube irrig.",,
1453,"CT DRSG",,
1454,"r hips drsg change",,
1455,"fingerstick glucose",,
1456,"popliteal pulse r/l",,
1457,"CPAP",,
1458,"L ankle dsg change",,
1459,"gluteral drsg change",,
1460,"D5W 100meq NaHC03",,
1462,"wrist  restraints",,
1463,"pad count",,
1464,"ZZZly Wake Up",,
1465,"Back Dsg",,
1466,"ATC",,
1467,"Pericare",,
1468,"HI/Minute/Vol/alarm",,
1,"% Inspir. Time",,
2,"ABI (L)",,
3,"ABI (R)",,
4,"ABI Ankle BP R/L",,
5,"ABI Brachial BP R/L",,
6,"ABP",,
24,"ART Lumen Volume",,
25,"AV Interval",,
26,"AaDO2",,
27,"Abdominal Assessment",,
28,"Abdominal Girth",,
29,"Access mmHg",,
31,"Activity",,
32,"Activity Tolerance",,
34,"Add Gas Flow (Vent)",,
35,"Additional Gas (lpm)",,
36,"Additional Gas(Mask)",,
37,"Additional Gas(Vent)",,
38,"Airway",,
39,"Airway Size",,
40,"Airway Type",,
41,"Alarms Activated",,
43,"Angio Appearance #1",,
44,"Angio Appearance #2",,
45,"Angio Dressing #1",,
46,"Angio Dressing #2",,
47,"Angio Site #1",,
48,"Angio Site #2",,
49,"AntiEmbDevice/Status",,
50,"Apnea Time Interval",,
51,"Arterial BP",,
52,"Arterial BP Mean",,
53,"Arterial Pressure",,
54,"Assistance Device",,
55,"Assisted Systole",,
56,"Atrial Sens/Capture",,
57,"Atrial Threshold",,
58,"AtrialmA/Sensitivity",,
59,"Augmented Diastole",,
60,"Auto-PEEP Level",,
61,"AvDO2",,
62,"BAEDP",,
63,"BIPAP - BPM",,
64,"BIPAP - EPAP",,
65,"BIPAP - Est. Vt",,
66,"BIPAP - IPAP",,
67,"BIPAP - O2 lpm",,
68,"BIPAP-Mode",,
69,"BSA",,
70,"BSA - English",,
71,"BSA - Metric",,
72,"Back Care",,
74,"Base Excess",,
75,"Baseline Current/mA",,
76,"Bath",,
77,"Behavior",,
78,"Bladder Irrigation",,
79,"Blood Flow ml/min",,
80,"Bowel Sounds",,
81,"Brachial Pulse R/L",,
82,"Braden Activity",,
83,"Braden Frict/Shear",,
84,"Braden Mobility",,
85,"Braden Moisture",,
86,"Braden Nutrition",,
87,"Braden Score",,
88,"Braden SensoryPercep",,
89,"C.O. (fick)",,
90,"C.O.(thermodilution)",,
91,"CPM",,
92,"CPP",,
93,"CT #1 Crepitus",,
94,"CT #1 Drainage",,
95,"CT #1 Dressing",,
96,"CT #1 Fluctuate/Leak",,
97,"CT #1 Suction Amount",,
98,"CT #2 Crepitus",,
99,"CT #2 Drainage",,
100,"CT #2 Dressing",,
101,"CT #2 Fluctuate/Leak",,
102,"CT #2 Suction Amount",,
103,"CT #3 Crepitus",,
104,"CT #3 Drainage",,
105,"CT #3 Dressing",,
106,"CT #3 Fluctuate/Leak",,
107,"CT #3 Suction Amount",,
108,"CT #4 Crepitus",,
109,"CT #4 Drainage",,
110,"CT #4 Dressing",,
111,"CT #4 Fluctuate/Leak",,
112,"CT #4 Suction Amount",,
113,"CVP",,
114,"CaO2",,
115,"Capillary Refill R/L",,
116,"Cardiac Index",,
117,"Catheter Insert Date",,
118,"Cerv Collar Status",,
119,"Cervical Collar Type",,
121,"Chest PT R/L",,
122,"Chest Tube Site #1",,
123,"Chest Tube Site #2",,
124,"Chest Tube Site #3",,
125,"Chest Tube Site #4",,
127,"Circulation/SkinInt",,
128,"Code Status",,
129,"Collar Care",,
130,"Communication",,
131,"Compliance (40-60ml)",,
132,"Compliance-Corrected",,
133,"Cont.Nebulizer(Drug)",,
134,"CoolingDevice/Status",,
135,"Corneal Reflex R/L",,
136,"Cough Effort",,
137,"Cough Reflex",,
138,"Cough Type",,
139,"Cough/Deep Breathe",,
140,"Cuff Leak",,
141,"Cuff Pressure-Airway",,
142,"Current Goal",,
143,"CvO2",,
146,"Dialysate Flow ml/hr",,
147,"Dialysate Infusing",,
148,"Dialysis Access Site",,
149,"Dialysis Access Type",,
150,"Dialysis Machine",,
151,"Dialysis Site Appear",,
152,"Dialysis Type",,
153,"Diastolic Unloading",,
154,"Diet Type",,
155,"Doppler BP",,
156,"Dorsal PedPulse R/L",,
157,"ETT Mark/Location",,
158,"ETT Position Change",,
159,"Ectopy Frequency",,
160,"Ectopy Frequency 2",,
161,"Ectopy Type",,
162,"Ectopy Type 2",,
163,"Edema Location/Amt#1",,
