ITEMID,CODE,TYPE,CATEGORY,LABEL,DESCRIPTION
101351,"7975 ","PROCEDURE",,,"CL REDUC DISLOC-HIP      "
101352,"7976 ","PROCEDURE",,,"CL REDUC DISLOC-KNEE     "
101353,"7978 ","PROCEDURE",,,"CL REDUC DISLOC-FOOT/TOE "
101354,"7979 ","PROCEDURE",,,"CL REDUC DISLOCATION NEC "
101355,"7982 ","PROCEDURE",,,"OPEN REDUC-ELBOW DISLOC  "
101356,"7985 ","PROCEDURE",,,"OPEN REDUC-HIP DISLOCAT  "
101357,"7986 ","PROCEDURE",,,"OPEN REDUC-KNEE DISLOCAT "
101358,"7987 ","PROCEDURE",,,"OPEN REDUC-ANKLE DISLOC  "
101359,"7988 ","PROCEDURE",,,"OPN REDUC DISLOC-FT/TOE  "
101360,"8005 ","PROCEDURE",,,"ARTHROT/PROS REMOV-HIP   "
101361,"8006 ","PROCEDURE",,,"ARTHROT/PROS REMOV-KNEE  "
101362,"8011 ","PROCEDURE",,,"OTH ARTHROTOMY-SHOULDER  "
101363,"8012 ","PROCEDURE",,,"OTH ARTHROTOMY-ELBOW     "
101364,"8013 ","PROCEDURE",,,"OTH ARTHROTOMY-WRIST     "
101365,"8014 ","PROCEDURE",,,"OTH ARTHROTOMY-HAND/FNGR "
101366,"8015 ","PROCEDURE",,,"OTH ARTHROTOMY-HIP       "
101367,"8016 ","PROCEDURE",,,"OTH ARTHROTOMY-KNEE      "
101368,"8017 ","PROCEDURE",,,"OTH ARTHROTOMY-ANKLE     "
101369,"8021 ","PROCEDURE",,,"SHOULDER ARTHROSCOPY     "
101370,"8026 ","PROCEDURE",,,"KNEE ARTHROSCOPY         "
101371,"8031 ","PROCEDURE",,,"SHOULDER JOINT BIOPSY    "
101372,"8036 ","PROCEDURE",,,"KNEE JOINT BIOPSY        "
101373,"8039 ","PROCEDURE",,,"JOINT BIOPSY NEC         "
101374,"8041 ","PROCEDURE",,,"SHOULDER STRUCT DIVISION "
101375,"8046 ","PROCEDURE",,,"KNEE STRUCTURE DIVISION  "
101376,"8049 ","PROCEDURE",,,"JT STRUCTUR DIVISION NEC "
101377,"8050 ","PROCEDURE",,,"EXC/DESTR UNSPEC INTERV  "
101378,"8051 ","PROCEDURE",,,"EXC INTERVERTEBRAL DISC  "
101379,"806  ","PROCEDURE",,,"EXCIS KNEE SEMILUN CARTL "
101380,"8071 ","PROCEDURE",,,"SHOULDER SYNOVECTOMY     "
101381,"8073 ","PROCEDURE",,,"WRIST SYNOVECTOMY        "
101382,"8075 ","PROCEDURE",,,"HIP SYNOVECTOMY          "
101383,"8076 ","PROCEDURE",,,"KNEE SYNOVECTOMY         "
101384,"8079 ","PROCEDURE",,,"SYNOVECTOMY-SITE NEC     "
101385,"8081 ","PROCEDURE",,,"DESTRUC-SHOULDER LES NEC "
101386,"8082 ","PROCEDURE",,,"DESTRUC-ELBOW LESION NEC "
101387,"8083 ","PROCEDURE",,,"DESTRUC-WRIST LESION NEC "
