ITEMID,LABEL,CATEGORY
1499,"co fluid","Free Form Intake"
1500,"hemodialysis output",
1501,"D5W 460.0ml + 460mghr Ativan","IV Infusions"
1502,"D5W 500.0ml + 20000Uhr Heparin","IV Infusions"
1503,".9% Normal Saline 250.0ml + 12500mcghr Fentanyl","IV Infusions"
1504,"TPN 1445.0ml","IV Infusions"
1505,"TPN w/Lipids 1445.0ml","IV Infusions"
1506,".9% Normal Saline 50.0ml + 100mghr Lasix","PO/Gastric"
1507,"D5W 200.0ml + 200mghr Midazolam","IV Infusions"
1508,"plural fluid",
1509,"PLEURAL FLUID",
1510,"TOTAL OUT FOLEY BAG",
1511,"OGT out",
1512,"D5W 100.0ml + 50mghr Midazolam","IV Infusions"
1513,".9% Normal Saline 150.0ml + 300mgmin Labetolol","IV Infusions"
1514,".9% Normal Saline 500.0ml + 500mgmin Labetolol","IV Infusions"
1515,".9% Normal Saline 41.0ml","IV Infusions"
1516,"versed drip","Free Form Intake"
1517,"talc in ct","Free Form Intake"
1518,"bumex","Free Form Intake"
1519,"RIGHT GROIN POUCH",
1520,"paracentsis",
1521,"Fentanyl Base 60.0ml + 60mghr Ativan","IV Infusions"
1522,"TF Residual 30.0ml","IV Drips"
1523,".9% Normal Saline 50.0ml + 200mghr Midazolam","IV Drips"
1524,"IVF AT OSH","Free Form Intake"
1525,"PROTONIX MG/HR","Free Form Intake"
1526,"1/2 ns bolus","Free Form Intake"
1527,"HEMODIALYSIS",
1528,"D5/.45NS 480.0ml","IV Infusions"
1529,"D5W 250.0ml + 50Umin Vasopressin","IV Infusions"
1530,".9% Normal Saline 100.0ml + 300mgmin Labetolol","IV Drips"
1531,"octreotide","Free Form Intake"
1532,"Pamidronate        l","Free Form Intake"
1533,"D5W 25.0ml","IV Infusions"
1534,"D5W 2500.0ml","IV Infusions"
1535,"Nepro 500.0str","IV Infusions"
1536,"Promote w/fiber 30.0str","IV Infusions"
1537,"iv protonix","Free Form Intake"
1538,"enema-lactulose","Free Form Intake"
1540,".9% Normal Saline 4000.0ml","IV Infusions"
1542,"Dextrose 10% 50.0ml","IV Infusions"
1543,"Normal Saline_GU 3000.0cc","IV Drips"
1544,".9% Normal Saline 25.0ml + 1250mcghr Fentanyl","IV Drips"
1546,"paracentesis fluid",
1547,"D5W 100.0ml + 20mghr Dilaudid","IV Infusions"
1549,"thermoldilution","Free Form Intake"
1550,"dextrose gtt","Free Form Intake"
1551,"D5W 1000.0ml + 1000Uhr Heparin","IV Infusions"
1552,"D5W 150.0ml + 50Umin Vasopressin","IV Drips"
1554,"OR Crystalloid 350.0ml","PO/Gastric"
1555,"hd removal",
1559,"D5/.45NS 75.0ml","IV Infusions"
1560,"D5W 250.0ml + 1500mcghr Sandostatin","IV Infusions"
1562,"cardiac output fluid","Free Form Intake"
1563,".9% Normal Saline 1000.0ml + 1000Uhr Heparin","IV Infusions"
1565,"Cath Lab Intake 130.0ml","IV Infusions"
1566,"Ampho-B_GU 41.0cc","GU Irrigant"
1567,"Vivonex 500.0str","IV Drips"
1569,".9% Normal Saline 250.0ml + 25mgkghr Doxacurium","IV Infusions"
1570,"D5W 500.0ml + 500mcghr Sandostatin","IV Infusions"
1572,"D5W 500.0ml + 100Umin Vasopressin","IV Infusions"
1573,"Ultracal 500.0str","IV Infusions"
1574,"CO FLUID","Free Form Intake"
1576,"GI drainage",
1578,"Ultracal 200.0str","IV Infusions"
1579,"golytely","Free Form Intake"
1581,"Water bolus","Free Form Intake"
1582,"free h20 bolus","Free Form Intake"
1584,"Chest tube flush","Free Form Intake"
1585,"Packed RBC's 100.0ml","IV Infusions"
1587,"Dextrose 10% 500.0ml","IV Infusions"
1589,"D5/.45NS 9.0ml","IV Infusions"
1590,"Nepro 40.0str","Tube Feeding"
1592,"gall drain flush","Free Form Intake"
1593,"pleural cutaneous fi",
1595,"Nepro 300.0str","IV Infusions"
1596,"Promote w/fiber 666.0str","IV Infusions"
1597,"Dextrose 15%","Free Form Intake"
1600,"Promote w/fiber 999.0str","IV Infusions"
1601,"Impact w/fiber 300.0str","IV Drips"
1602,"Ultracal 20.0str","Tube Feeding"
1603,"Ultracal 662.0str","Tube Feeding"
1605,"TF Residual 2000.0ml","IV Drips"
1606,"Boost 600.0str","Tube Feeding"
1608,".45% Normal Saline 80.0ml","IV Infusions"
1609,"Rifampin","Free Form Intake"
1610,"ER","Free Form Intake"
1612,"Nepro 999.0str","IV Infusions"
1613,"Sterile Water 100.0ml + 100mgmin Labetolol","IV Infusions"
1615,"D5W 400.0ml + 400mgmin Labetolol","IV Infusions"
1616,"D5W 95.0ml + 100Umin Vasopressin","PO/Gastric"
1617,"D5W 200.0ml + 200mghr Lasix","IV Drips"
1618,"Peptamen 300.0str","IV Drips"
1620,"dialysate in","Free Form Intake"
1621,"Bannana Bag","Free Form Intake"
1623,"dialysate out",
1624,"Fresh Frozen Plasma 166.0ml","IV Infusions"
1626,".9% Normal Saline 250.0ml + 240mcgkgmin Neosynephrine-k","PO/Gastric"
1627,"pepcid gtt","Free Form Intake"
1628,"TPN 1732.0ml","IV Infusions"
1630,"Respalor 10.0str","IV Infusions"
1631,"Free Water Bolus 250.0ml","IV Infusions"
1633,"Vasopressin","Free Form Intake"
1635,"Hemodialysis removal",
1637,"D5W 50.0ml + 500mcghr Fentanyl","IV Infusions"
1638,"Promote w/fiber 200.0str","PO/Gastric"
1639,"Vivonex 240.0str","IV Drips"
1641,"Ultracal 999.0str","Tube Feeding"
1643,"15 mMol KPhos","Free Form Intake"
1644,".9% Normal Saline 250.0ml + 10mcgkgmin Neosynephrine-k","IV Infusions"
1646,"famotidine","Free Form Intake"
1647,".9% Normal Saline 100.0ml + 1000mcgkgmin Propofol","IV Infusions"
1649,"Respalor 999.0str","Tube Feeding"
1650,"Vivonex 999.0str","Tube Feeding"
1652,"GO-LYTELY","Free Form Intake"
1653,"Vanco Enema In:","Free Form Intake"
1654,"Gastro Graphin","Free Form Intake"
1655,"IV Piggyback 60.0ml","IV Infusions"
1656,"D5W 250.0ml + 1mcgkgmin Levophed-k","IV Infusions"
1657,"Haldol","IV Drips"
1658,"D5W 50.0ml + 50mghr Haldol","IV Infusions"
1659,"Gastric Meds 160.0ml","IV Infusions"
1660,"PPN 999.0ml","IV Nutrition"
1661,"Tube Feeding 999.0ml","Tube Feeding"
1662,"hd off",
1663,"D5W 250.0ml + 500Umin Vasopressin","IV Infusions"
1664,"Promote w/fiber 15.0str","IV Infusions"
1665,"Peptamen 999.0str","Tube Feeding"
1666,"TPN 1100.0ml","IV Nutrition"
1667,"celestomy drain","Free Form Intake"
1668,"mycomust","Free Form Intake"
1669,"Xygris","Free Form Intake"
1670,"stool",
1671,"D5W 50.0ml + 2500mcghr Fentanyl (Conc)","IV Infusions"
1672,"Vivonex 200.0str","IV Infusions"
1673,"Impact w/fiber 999.0str","IV Infusions"
1674,".9% Normal Saline 240.0ml","IV Infusions"
1675,"D5W 60.0ml","IV Infusions"
1676,"EW","Free Form Intake"
1677,"Angio IVF","Free Form Intake"
1678,"BAG-->ABD TAP SITES",
1679,"D5W 500.0ml + 50mcgkgmin Nitroprusside","IV Infusions"
1680,"Gastric Meds 4000.0ml","IV Infusions"
1681,"chest tube BEFORE OR",
1682,"Pericardial Drain",
1683,"Drain Out #2 JP Lateral",
1684,"N/A 6.1vl + 500mcgkgmin Propofol","IV Infusions"
1685,"Gastric Meds 75.0ml","IV Infusions"
1686,"Pre-Admission Intake 5000.0cc","IV Infusions"
1687,"TPN 700.0ml","IV Drips"
1688,"lactulose Enema","Free Form Intake"
1689,"15 MMOL NaPHOS","Free Form Intake"
1690,"TF Residual 200.0ml","IV Infusions"
1691,"Criticare HN 999.0str","IV Infusions"
1692,"IVIg","Free Form Intake"
1693,"Verapamil","Free Form Intake"
1694,"Verapamil drip","Free Form Intake"
1695,"NS fluid boluses","Free Form Intake"
1696,".9% Normal Saline 50.0ml + 5000mcghr Fentanyl","IV Infusions"
1697,"bal cctn",
1698,"Drain Out #2 Hemovac",
1699,"TF Residual 10.0ml","IV Infusions"
1700,"D5W 800.0ml","IV Infusions"
1701,"iv intake in angio","Free Form Intake"
1702,"EW IVF","Free Form Intake"
1703,"fluid restriction","Free Form Intake"
1704,"Lactulose Enema","Free Form Intake"
1705,"HD output","Free Form Intake"
1706,"irrig for bldr press","Free Form Intake"
1708,"Deliver 2.0 240.0str","IV Infusions"
1709,"Kayoxalate Enema","Free Form Intake"
202,"D5W 250.0ml + 2mcgkgmin Epinephrine-k","IV Infusions"
203,"D5W 50.0ml + 50mghr Morphine Sulfate","IV Infusions"
204,"D5 Ringers Lact.","IV Infusions"
205,"D5W 250.0ml + 40mcgkgmin Neosynephrine-k","IV Infusions"
206,".9% Normal Saline 250.0ml + 20mcgmin Neosynephrine","IV Infusions"
207,"D5W 80.0ml + 80mghr Ativan","IV Infusions"
208,"Aggrastat mcg/kg/min","IV Drips"
209,"Insulin        U/hr","IV Drips"
210,"Levophed mcg/kg/min","IV Drips"
211,".9% Normal Saline 100.0ml + 100Uhr Insulin","IV Infusions"
212,"D5W 250.0ml + 12.5mcgkgmin Aggrastat","IV Infusions"
213,"D5W 250.0ml + 4mcgkgmin Levophed-k","IV Infusions"
214,"D5 Normal Saline","IV Infusions"
215,"D5W 250.0ml + 100mcgkgmin Nitroprusside","IV Infusions"
216,"D5RL","IV Infusions"
217,".9% Normal Saline 250.0ml + 12.5mcgkgmin Integrelin","IV Infusions"
218,"D5W 250.0ml + 60mcgkgmin Neosynephrine-k","IV Infusions"
219,"D5RL 1000.0ml","IV Infusions"
220,".9% Normal Saline 250.0ml + 60mcgkgmin Neosynephrine-k","IV Infusions"
221,"Whole Blood","IV Infusions"
222,"Impact w/fiber","Tube Feeding"
223,"Labetolol     mg/min","IV Drips"
224,"OR Platelets","OR Intake"
225,".9% Normal Saline 100.0ml + 100mgmin Labetolol","IV Infusions"
226,".9% Normal Saline 400.0ml + 400mgmin Labetolol","IV Infusions"
227,"Peptamen","Tube Feeding"
228,"Esmolol  mcg/kg/min","IV Drips"
229,".9% Normal Saline 250.0ml + 8mcgmin Levophed","IV Infusions"
230,"D5W 250.0ml + 2500mcgkgmin Esmolol","IV Infusions"
231,".9% Normal Saline 50.0ml + 50Uhr Insulin","IV Infusions"
232,"Albumin 5%","IV Infusions"
233,"Dextran 40","IV Infusions"
234,"D5W 250.0ml + 16mcgmin Levophed","IV Infusions"
235,"D5W 250.0ml + 32mcgmin Levophed","IV Infusions"
236,"D5W 500.0ml + 64mcgmin Levophed","IV Infusions"
237,"Aminophylline mg/hr","IV Drips"
238,"Cisatracurium mgkghr","IV Drips"
239,"Cisatracuriummcgkgmi","IV Drips"
240,"D5W 250.0ml + 250mghr Aminophylline + 250mgkghr Aminophylline","IV Infusions"
241,"D5W 250.0ml + 100mcgkgmin Cisatracurium + 100mgkghr Cisatracurium","IV Infusions"
242,"D5W 10000.0ml","IV Infusions"
243,"D5W 100.0ml + 10mcgkgmin Cisatracurium + 10mgkghr Cisatracurium","IV Infusions"
244,"D5W 100.0ml + 40mcgkgmin Cisatracurium + 40mgkghr Cisatracurium","IV Infusions"
245,"D5W 500.0ml + 200mcgkgmin Cisatracurium + 200mgkghr Cisatracurium","IV Infusions"
246,"Hespan","IV Infusions"
247,"D5W 250.0ml + 5000mcgkgmin Esmolol","IV Infusions"
248,"D5W 250.0ml + 8mcgmin Levophed","IV Infusions"
249,".9% Normal Saline 250.0ml","IV Infusions"
250,"D5W 250.0ml + 20mcgkgmin Neosynephrine-k","IV Infusions"
251,"D5W 250.0ml + 80mcgkgmin Neosynephrine-k","IV Infusions"
252,"Ultracal","Tube Feeding"
253,"Replete w/fiber 10.0str","IV Infusions"
254,"Ultracal 10.0str","IV Infusions"
255,"Dobutamine mcg/k/min","IV Drips"
256,"D5W 250.0ml + 250mcgkgmin Dobutamine","IV Infusions"
258,"Albumin 25%","Tube Feeding"
259,"TPN 1300.0ml","Tube Feeding"
261,"TPN 1735.0ml","Tube Feeding"
263,"Lipids 500.0ml","IV Infusions"
264,"D5W 100.0ml + 20mcgkgmin Milrinone","IV Infusions"
266,"Pitressin      u/min","IV Drips"
267,"D5W 250.0ml + 200Umin Vasopressin","IV Infusions"
269,".9% Normal Saline 250.0ml + 40mcgkgmin Neosynephrine-k","IV Infusions"
270,"D5W 40.0ml + 40mghr Ativan","IV Infusions"
271,".9% Normal Saline 50.0ml + 100Uhr Insulin","IV Infusions"
273,"TPN w/Lipids 1244.0ml","IV Drips"
274,"Free Water Bolus","PO/Gastric"
276,"D5W 200.0ml","Blood Products"
277,"TPN w/Lipids 1356.0ml","Blood Products"
278,"TPN 1323.0ml","IV Nutrition"
280,"insulin pump u/hr","Free Form Intake"
281,"sodium phosphate","Free Form Intake"
283,"THAM","Free Form Intake"
284,"amiodarone","Free Form Intake"
287,"Drain Out #4 Other",
288,"PACU Out PACU Urine",
290,"Drain Out #4 Pigtail",
292,"Drain Out #2 T Tube",
293,"Drain Out #3 Red Rubber",
295,"Lactated Ringers 250.0ml","IV Infusions"
297,"D5NS 1000.0ml","IV Infusions"
298,"D5W 250.0ml + 10mcgkgmin Neosynephrine-k","IV Infusions"
300,"D5W 250.0ml + 4mcgkgmin Epinephrine-k","IV Infusions"
301,"D5W 250.0ml + 64mcgmin Levophed","IV Infusions"
303,"D5W 250.0ml + 10Umin Vasopressin","IV Infusions"
304,"Amiodarone    mg/min","IV Drips"
305,"Dilaudid      mg/hr","IV Drips"
306,"D5W 50.0ml + 100mghr Dilaudid","IV Drips"
308,"D5W 50.0ml + 50mghr Dilaudid","IV Drips"
309,".9% Normal Saline 100.0ml","IV Infusions"
310,"D5W 250.0ml + 120mcgmin Neosynephrine","IV Infusions"
312,"D5W 250.0ml + 500mghr Morphine Sulfate","IV Infusions"
313,"D5W 250.0ml + 250mghr Morphine Sulfate","IV Infusions"
314,"Lidocaine    mg/min","IV Drips"
316,"D5W 100.0ml + 50mghr Morphine Sulfate","IV Infusions"
317,"D5W 140.0ml + 140mghr Ativan","IV Infusions"
318,"TPN 999.0ml","IV Infusions"
320,"TPN","IV Drips"
322,"D5W 250.0ml + 12mcgmin Levophed","IV Drips"
323,"D5W 250.0ml + 100mghr Dilaudid","IV Infusions"
324,"Lactated Ringers 500.0ml","IV Infusions"
326,"Fentanyl(Conc)mcg/hr","IV Drips"
327,"Mannitol 20%","Free Form Intake"
328,"PROTONIX IV","Free Form Intake"
329,"CHOLE TUBE FLUSH","Free Form Intake"
331,"Gastric Jejunostomy Tube",
333,".9% Normal Saline 50.0ml + 50mghr Morphine Sulfate","IV Infusions"
334,".9% Normal Saline 250.0ml + 4mcgmin Levophed","IV Infusions"
335,"D5W 500.0ml + 50mghr Dilaudid","IV Infusions"
337,"D5W 50.0ml + 12.5mghr Dilaudid","IV Infusions"
339,"Replete w/fiber 30.0str","IV Infusions"
341,"PRANTOPRAZOLE GTT","Free Form Intake"
342,"HESPAN","Free Form Intake"
343,"cisatra 200mg/100","Free Form Intake"
345,"D5W 120.0ml + 120mghr Ativan","IV Drips"
346,"Dextrose 10% 1000.0ml","IV Infusions"
348,"TPN 2200.0ml","IV Infusions"
349,"D5W 250.0ml + 160mcgmin Neosynephrine","IV Infusions"
350,"D5W 100.0ml + 100mghr Dilaudid","IV Drips"
351,"D5W 50.0ml + 200mghr Dilaudid","IV Drips"
353,"D5W 100.0ml + 100mghr Lasix","Tube Feeding"
354,"Lasix         mg/hr","IV Drips"
355,"D5W 1.0ml + 5mghr Diltiazem","IV Drips"
356,"Pancuronium mg/kg/hr","IV Drips"
357,".9% Normal Saline 50.0ml + 50mgkghr Pancuronium","IV Drips"
358,".9% Normal Saline 100.0ml + 100mgkghr Pancuronium","IV Drips"
359,"Atracurium mg/kg/hr","IV Drips"
360,".9% Normal Saline 250.0ml + 500mgkghr Atracurium","IV Drips"
361,"Impact w/fiber 1000.0str","IV Drips"
362,"D5W 500.0ml","IV Infusions"
363,"Isocal HN","Tube Feeding"
364,"EPIDURAL CC HR","Free Form Intake"
365,"Cisatra 200mg/250cc","Free Form Intake"
366,"mucus fistula",
367,"Stool Out Rectal Tube",
368,"D5/.45NS 80.0ml","IV Infusions"
369,"Lactated Ringers 90.0ml","IV Infusions"
370,"Tube Feeding","PO/Gastric"
371,"Carrier 600.0ml","IV Infusions"
372,"D5W 250.0ml + 16mcgkgmin Levophed-k","IV Infusions"
373,"N/A 20.0vl + 200mcgkgmin Propofol","IV Drips"
374,"D5W 60.0ml + 60mghr Morphine Sulfate","IV Drips"
375,"D5W 250.0ml + 8mcgkgmin Levophed-k","IV Drips"
376,"D5W 50.0ml + 100mghr Morphine Sulfate","IV Infusions"
377,"TPN 2500.0ml","IV Infusions"
378,"TPN 2300.0ml","IV Infusions"
379,"D5W 100.0ml + 100mghr Diltiazem","IV Drips"
380,".9% Normal Saline 250.0ml + 2mgmin Procainamide","IV Drips"
381,"Pronestyl    mg/min","IV Drips"
382,"D5W 100.0ml + 200mghr Lasix","IV Drips"
383,"D5W 50.0ml + 12mcgkgmin Neosynephrine-k","IV Drips"
384,"Vivonex 195.0str","Tube Feeding"
385,"K PHOS","Free Form Intake"
386,"hemodialysis",
387,"Cath Lab Out Cath Lab Output",
388,"Stool Out (non-specific)",
389,".45% Normal Saline 250.0ml","IV Infusions"
390,".9% Normal Saline 250.0ml + 80mcgmin Neosynephrine","IV Infusions"
391,"D5W 250.0ml + 250mcgkgmin Esmolol","IV Infusions"
392,".9% Normal Saline 250.0ml + 150mcgmin Neosynephrine","IV Infusions"
393,"D5W 500.0ml + 2mgmin Lidocaine","IV Infusions"
394,"D5W 250.0ml + 50mcgmin Nitroglycerine","IV Infusions"
395,".9% Normal Saline 250.0ml + 400mcgmin Nitroglycerine","IV Infusions"
396,"D5W 500.0ml + 900mgmin Amiodarone","IV Infusions"
397,"Washed PRBC's","IV Infusions"
398,"Packed RBC's 375.0ml","Tube Feeding"
399,"Replete w/fiber 100.0str","Tube Feeding"
400,"TPN 1099.0ml","IV Infusions"
401,"D5W 100.0ml + 100mghr Ativan","IV Drips"
402,"protonics","Free Form Intake"
403,"thoracentesis",
404,"endoscopy",
405,"Urine Out Other",
406,"Gastric Other",
407,"D5W 250.0ml + 1mgmin Procainamide","IV Infusions"
408,"D5W 250.0ml + 50mcgmin Neosynephrine","IV Infusions"
