ITEMID,TEST_NAME,FLUID,CATEGORY,LOINC_CODE,LOINC_DESCRIPTION
50225,"POTASSIUM","OTHER BODY FLUID","CHEMISTRY","2821-7","Potassium [Moles/volume] in Body fluid"
50226,"SODIUM","OTHER BODY FLUID","CHEMISTRY","2950-4","Sodium [Moles/volume] in Body fluid"
50227,"SURF/ALBU","OTHER BODY FLUID","CHEMISTRY",,
50228,"TOT BILI","OTHER BODY FLUID","CHEMISTRY","1974-5","Bilirubin [Mass/volume] in Body fluid"
50229,"TOT PROT","OTHER BODY FLUID","CHEMISTRY","2881-1","Protein [Mass/volume] in Body fluid"
50230,"TOTAL CO2","OTHER BODY FLUID","CHEMISTRY","11211-0","Carbon dioxide, total [Moles/volume] in Body fluid"
50231,"TRIGLYCER","OTHER BODY FLUID","CHEMISTRY","12228-3","Triglyceride [Mass/volume] in Body fluid"
50232,"UREA N","OTHER BODY FLUID","CHEMISTRY","3093-2","Urea nitrogen [Mass/volume] in Body fluid"
50234,"ALBUMIN","PLEURAL","CHEMISTRY","1748-3","Albumin [Mass/volume] in Pleural fluid"
50235,"AMYLASE","PLEURAL","CHEMISTRY","1796-2","Amylase [Enzymatic activity/volume] in Pleural fluid"
50236,"CHLORIDE","PLEURAL","CHEMISTRY","53627-6","Chloride [Moles/volume] in Pleural fluid"
50237,"CHOLEST","PLEURAL","CHEMISTRY","9618-0","Cholesterol [Mass/volume] in Pleural fluid"
50238,"CO2","PLEURAL","CHEMISTRY","54361-1","Bicarbonate [Moles/volume] in Pleural fluid"
50242,"MISC","PLEURAL","CHEMISTRY",,
50243,"POTASSIUM","PLEURAL","CHEMISTRY",,
50244,"SODIUM","PLEURAL","CHEMISTRY",,
50245,"TOT BILI","PLEURAL","CHEMISTRY","14421-2","Bilirubin [Mass/volume] in Pleural fluid"
50247,"TRIGLYCER","PLEURAL","CHEMISTRY","9619-8","Triglyceride [Mass/volume] in Pleural fluid"
50250,"OSMOLAL","STOOL","CHEMISTRY","2693-0","Osmolality of Stool"
