PARAM1_STR,PARAM1_NUM,CATEGORY,PARAM2_STR,PARAM2_NUM,ORDER_NUM,VALID_FLG,COMMENTS
,1,"SUBJECT_ID_TO_PID","b65588",,1,"Y",
,2,"SUBJECT_ID_TO_PID","b82263",,1,"Y",
,3,"SUBJECT_ID_TO_PID","b72114",,1,"Y",
,4,"SUBJECT_ID_TO_PID","b74082",,1,"Y",
,5,"SUBJECT_ID_TO_PID","b67117",,1,"Y",
,6,"SUBJECT_ID_TO_PID","b89031",,1,"Y",
,7,"SUBJECT_ID_TO_PID","b84687",,1,"Y",
,8,"SUBJECT_ID_TO_PID","b65670",,1,"Y",
,9,"SUBJECT_ID_TO_PID","b64835",,1,"Y",
,10,"SUBJECT_ID_TO_PID","b66662",,1,"Y",
,11,"SUBJECT_ID_TO_PID","b83167",,1,"Y",
,12,"SUBJECT_ID_TO_PID","b70337",,1,"Y",
,13,"SUBJECT_ID_TO_PID","b69471",,1,"Y",
,14,"SUBJECT_ID_TO_PID","b62552",,1,"Y",
,15,"SUBJECT_ID_TO_PID","b75082",,1,"Y",
,16,"SUBJECT_ID_TO_PID","b61584",,1,"Y",
,17,"SUBJECT_ID_TO_PID","b89766",,1,"Y",
,17,"SUBJECT_ID_TO_PID","b87355",,2,"Y",
,18,"SUBJECT_ID_TO_PID","b84894",,1,"Y",
,19,"SUBJECT_ID_TO_PID","b86269",,1,"Y",
,20,"SUBJECT_ID_TO_PID","b74863",,1,"Y",
,21,"SUBJECT_ID_TO_PID","b83448",,1,"Y",
,21,"SUBJECT_ID_TO_PID","b83403",,2,"Y",
,22,"SUBJECT_ID_TO_PID","b60351",,1,"Y",
,23,"SUBJECT_ID_TO_PID","b84018",,1,"Y",
,24,"SUBJECT_ID_TO_PID","b77901",,1,"Y",
,25,"SUBJECT_ID_TO_PID","b76211",,1,"Y",
,26,"SUBJECT_ID_TO_PID","b71148",,1,"Y",
,27,"SUBJECT_ID_TO_PID","b73878",,1,"Y",
,28,"SUBJECT_ID_TO_PID","b62986",,1,"Y",
,29,"SUBJECT_ID_TO_PID","b86811",,1,"Y",
,30,"SUBJECT_ID_TO_PID","b64781",,1,"Y",
,31,"SUBJECT_ID_TO_PID","b64160",,1,"Y",
,32,"SUBJECT_ID_TO_PID","b74344",,1,"Y",
,33,"SUBJECT_ID_TO_PID","b71384",,1,"Y",
,34,"SUBJECT_ID_TO_PID","b88971",,1,"Y",
,35,"SUBJECT_ID_TO_PID","b78735",,1,"Y",
,36,"SUBJECT_ID_TO_PID","b87007",,1,"Y",
